,abbreviation,defensive_simple_rating_system,first_downs,first_downs_from_penalties,fumbles,games_played,interceptions,losses,margin_of_victory,name,offensive_simple_rating_system,pass_attempts,pass_completions,pass_first_downs,pass_net_yards_per_attempt,pass_touchdowns,pass_yards,penalties,percent_drives_with_points,percent_drives_with_turnovers,plays,points_against,points_contributed_by_offense,points_difference,points_for,rank,rush_attempts,rush_first_downs,rush_touchdowns,rush_yards,rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,win_percentage,wins,yards,yards_from_penalties,yards_per_play
KAN,KAN,-2.5,104,15,4,4,0,0,10.3,Kansas City Chiefs,11.7,157,106,61,9.3,10,1492,26,,,258,94,87.67,41,135,1,98,28,5,407,4.2,9.1,-1.1,4,1.0,4,1899,251,7.4
RAV,RAV,-3.6,110,6,1,4,2,2,8.8,Baltimore Ravens,6.2,140,93,59,7.4,11,1107,24,,,290,100,77.61,35,135,2,140,45,6,823,5.9,2.5,-6.2,3,0.5,2,1930,177,6.7
TAM,TAM,-3.4,88,9,1,4,5,2,1.5,Tampa Bay Buccaneers,10.7,139,87,57,7.2,9,1094,36,,,270,117,15.91,6,123,3,119,22,3,453,3.8,7.4,5.9,6,0.5,2,1547,282,5.7
NWE,NWE,10.5,83,7,2,4,2,0,23.8,New England Patriots,6.3,149,93,50,7.1,7,1084,28,,,267,27,19.42,95,122,4,114,26,5,365,3.2,16.8,-7.0,4,1.0,4,1449,237,5.4
RAM,RAM,-1.6,98,10,3,4,6,1,3.3,Los Angeles Rams,8.8,173,111,66,6.6,6,1192,33,,,278,104,18.73,13,117,5,97,22,6,399,4.1,7.2,4.0,9,0.75,3,1591,263,5.7
PHI,PHI,-7.2,86,9,3,4,2,2,1.3,Philadelphia Eagles,4.8,150,91,47,6.1,9,956,26,,,272,105,34.97,5,110,6,115,30,5,475,4.1,-2.3,-3.6,5,0.5,2,1431,238,5.3
DAL,DAL,3.4,91,7,2,4,3,1,12.8,Dallas Cowboys,-1.6,127,92,50,8.6,9,1119,28,,,248,56,71.49,51,107,7,118,34,5,582,4.9,1.8,-10.9,5,0.75,3,1701,278,6.9
SEA,SEA,-2.9,84,9,4,4,0,1,3.5,Seattle Seahawks,2.8,133,97,49,7.3,8,1065,32,,,256,89,18.53,14,103,8,111,26,5,446,4.0,-0.2,-3.7,4,0.75,3,1511,266,5.9
DET,DET,0.4,87,6,4,4,2,1,0.5,Detroit Lions,-1.1,141,88,57,7.2,9,1068,34,,,271,95,17.98,2,97,9,123,24,1,482,3.9,-0.6,-1.1,6,0.625,2,1550,239,5.7
SFO,SFO,5.0,70,7,4,3,4,0,14.0,San Francisco 49ers,8.0,85,59,35,8.5,5,738,25,,,201,54,17.11,42,96,10,114,28,4,525,4.6,13.0,-1.0,8,1.0,3,1263,233,6.3
CAR,CAR,6.6,81,6,7,4,1,2,3.8,Carolina Panthers,-0.6,149,93,58,6.1,4,972,20,,,261,80,-4.65,15,95,11,101,17,5,433,4.3,5.9,2.2,8,0.5,2,1405,166,5.4
CLT,CLT,-8.1,94,13,2,4,2,2,-2.0,Indianapolis Colts,3.3,138,90,46,6.0,10,859,20,,,258,102,48.95,-8,94,12,114,35,2,530,4.6,-4.7,-2.7,4,0.5,2,1389,149,5.4
MIA,MIA,-16.7,53,7,2,4,7,4,-34.3,Miami Dolphins,-12.2,136,70,37,4.5,2,693,23,,,223,163,-58.32,-137,26,32,69,9,0,207,3.0,-28.8,5.4,9,0.0,0,900,174,4.0
SDG,SDG,1.5,92,8,3,4,2,2,4.0,Los Angeles Chargers,-5.7,147,102,60,7.6,7,1201,29,,,255,74,42.71,16,90,14,97,24,3,414,4.3,-4.2,-8.2,5,0.5,2,1615,248,6.3
CLE,CLE,1.8,75,10,0,4,6,2,-0.5,Cleveland Browns,0.2,140,82,46,7.0,4,1061,41,,,246,91,0.21,-2,89,15,94,19,6,460,4.9,2.0,2.5,6,0.5,2,1521,368,6.2
NYG,NYG,-1.2,87,6,6,4,4,2,-2.5,New York Giants,-1.4,160,105,54,6.6,5,1097,26,,,260,97,18.25,-10,87,16,93,27,5,516,5.5,-2.6,-0.1,10,0.5,2,1613,214,6.2
GNB,GNB,6.1,80,12,3,4,1,1,4.0,Green Bay Packers,-0.3,146,91,49,6.5,6,1006,28,,,252,69,6.65,16,85,17,98,19,4,345,3.5,5.8,1.8,4,0.75,3,1351,209,5.4
JAX,JAX,4.5,71,7,2,4,1,2,0.0,Jacksonville Jaguars,-1.8,129,89,43,6.6,8,915,35,,,234,84,10.28,0,84,18,95,21,0,541,5.7,2.8,2.8,3,0.5,2,1456,275,6.2
NOR,NOR,1.9,73,6,1,4,3,1,-2.0,New Orleans Saints,-1.4,135,94,45,6.1,4,875,38,,,234,92,10.52,-8,84,19,91,22,2,410,4.5,0.5,2.5,4,0.75,3,1285,285,5.5
MIN,MIN,1.3,71,13,4,4,2,2,5.3,Minnesota Vikings,3.6,99,64,27,6.3,3,676,32,,,226,63,15.75,21,84,20,119,31,8,621,5.2,4.9,-0.3,6,0.5,2,1297,314,5.7
RAI,RAI,1.6,76,2,1,4,3,2,-5.8,Oakland Raiders,-6.0,129,93,48,6.1,6,840,34,,,236,102,25.54,-23,79,21,99,26,3,503,5.1,-4.3,1.4,4,0.5,2,1343,278,5.7
HTX,HTX,0.3,77,8,2,4,2,2,0.0,Houston Texans,0.9,127,82,43,5.8,6,836,28,,,239,78,24.44,0,78,22,94,26,4,481,5.1,1.2,1.2,4,0.5,2,1317,262,5.5
BUF,BUF,4.9,95,13,3,4,7,1,3.3,Buffalo Bills,-1.6,147,88,49,6.1,3,960,31,,,274,63,-6.51,13,76,23,117,33,6,589,5.0,3.3,0.0,10,0.75,3,1549,251,5.7
PIT,PIT,3.0,63,9,2,4,3,3,-3.0,Pittsburgh Steelers,-1.0,139,88,38,6.1,6,876,21,,,219,88,-11.54,-12,76,24,76,16,2,258,3.4,1.9,4.9,5,0.25,1,1134,211,5.2
CRD,CRD,-4.1,77,7,0,4,4,3,-10.3,Arizona Cardinals,-3.0,169,106,49,5.0,4,937,29,,,268,115,1.48,-41,74,25,79,21,2,368,4.7,-7.2,3.1,4,0.125,0,1305,201,4.9
ATL,ATL,0.3,95,11,2,4,6,3,-7.3,Atlanta Falcons,-7.0,176,124,65,6.7,8,1250,42,,,257,99,26.19,-29,70,26,71,19,1,281,4.0,-6.7,0.6,8,0.25,1,1531,314,6.0
DEN,DEN,-4.9,84,8,2,4,3,4,-5.8,Denver Broncos,1.1,148,98,57,6.3,5,995,24,,,260,93,15.91,-23,70,27,101,19,2,402,4.0,-3.7,2.0,5,0.0,0,1397,200,5.4
CHI,CHI,11.0,72,13,0,4,2,1,5.3,Chicago Bears,-7.2,136,91,43,5.1,4,733,33,,,246,45,-9.52,21,66,28,101,16,1,361,3.6,3.8,-1.4,2,0.75,3,1094,281,4.4
WAS,WAS,-8.6,67,6,2,4,7,4,-13.0,Washington Redskins,-4.2,152,101,53,6.1,7,986,39,,,229,118,-15.01,-52,66,29,68,8,1,199,2.9,-12.8,0.2,9,0.0,0,1185,259,5.2
CIN,CIN,-3.9,69,7,6,4,4,4,-13.3,Cincinnati Bengals,-6.1,166,102,50,5.6,5,1028,30,,,256,110,-26.69,-53,57,30,71,12,1,198,2.8,-9.9,3.3,10,0.0,0,1226,231,4.8
NYJ,NYJ,0.9,36,7,2,3,1,3,-12.3,New York Jets,-5.1,94,63,22,3.7,1,393,25,,,172,70,-47.24,-37,33,31,65,7,0,197,3.0,-4.2,8.1,3,0.0,0,590,223,3.4
MIA,MIA,-16.7,53,7,2,4,7,4,-34.3,Miami Dolphins,-12.2,136,70,37,4.5,2,693,23,,,223,163,-58.32,-137,26,32,69,9,0,207,3.0,-28.8,5.4,9,0.0,0,900,174,4.0
