,boxscore_index,date,datetime,day,extra_points_attempted,extra_points_made,field_goals_attempted,field_goals_made,fourth_down_attempts,fourth_down_conversions,interceptions,location,opponent_abbr,opponent_name,overtime,pass_attempts,pass_completion_rate,pass_completions,pass_touchdowns,pass_yards,pass_yards_per_attempt,points_allowed,points_scored,punt_yards,punts,quarterback_rating,result,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,type,week,yards_lost_from_sacks
201909080jax,201909080jax,8-Sep,9/8/2019,Sun,4,4,4,4,0,0,0,Away,JAX,Jacksonville Jaguars,FALSE,34,73.5,25,3,378,11.1,26,40,51,1,139.1,Win,26,1,113,4.3,10,5,31:15:00,0,Reg,1,0
201909150rai,201909150rai,15-Sep,9/15/2019,Sun,4,4,0,0,0,0,0,Away,RAI,Oakland Raiders,FALSE,44,68.2,30,4,436,9.9,10,28,196,5,130.5,Win,22,0,31,1.4,14,8,32:35:00,2,Reg,2,7
201909220kan,201909220kan,22-Sep,9/22/2019,Sun,4,3,2,2,1,0,0,Home,RAV,Baltimore Ravens,FALSE,37,73,27,3,363,9.8,28,33,88,2,130.8,Win,25,1,140,5.6,9,5,27:16:00,1,Reg,3,11
201909290det,201909290det,29-Sep,9/29/2019,Sun,4,4,3,2,1,1,0,Away,DET,Detroit Lions,FALSE,42,57.1,24,0,315,7.5,30,34,91,2,81,Win,25,3,123,4.9,9,4,26:05:00,0,Reg,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080mia,201909080mia,8-Sep,9/8/2019,Sun,8,8,1,1,2,2,0,Away,MIA,Miami Dolphins,FALSE,26,88.5,23,6,378,14.5,10,59,56,1,158.3,Win,46,2,265,5.8,11,7,40:07:00,1,Reg,1,1
201909150rav,201909150rav,15-Sep,9/15/2019,Sun,2,2,3,3,1,0,0,Home,CRD,Arizona Cardinals,FALSE,37,64.9,24,2,258,7,17,23,129,3,103.2,Win,33,0,182,5.5,14,7,37:38:00,2,Reg,2,14
201909220kan,201909220kan,22-Sep,9/22/2019,Sun,1,1,1,1,4,3,0,Away,KAN,Kansas City Chiefs,FALSE,43,51.2,22,0,249,5.8,33,28,153,3,68.8,Loss,32,4,203,6.3,13,5,32:44:00,3,Reg,3,18
201909290rav,201909290rav,29-Sep,9/29/2019,Sun,2,2,1,1,2,1,2,Home,CLE,Cleveland Browns,FALSE,34,70.6,24,3,222,6.5,40,25,131,3,93,Loss,29,0,173,6,10,4,29:43:00,4,Reg,4,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080tam,201909080tam,8-Sep,9/8/2019,Sun,2,2,1,1,2,0,3,Home,SFO,San Francisco 49ers,FALSE,36,55.6,20,1,174,4.8,31,17,42,2,43.1,Loss,26,0,121,4.7,11,5,29:56:00,3,Reg,1,20
201909120car,201909120car,12-Sep,9/12/2019,Thu,2,2,3,2,0,0,0,Away,CAR,Carolina Panthers,FALSE,25,64,16,1,189,7.6,14,20,295,6,100.2,Win,31,1,100,3.2,12,2,33:53:00,3,Reg,2,19
201909220tam,201909220tam,22-Sep,9/22/2019,Sun,3,1,5,4,1,1,1,Home,NYG,New York Giants,FALSE,37,62.2,23,3,355,9.6,32,31,179,4,109.6,Loss,32,0,144,4.5,14,4,33:12:00,4,Reg,3,25
201909290ram,201909290ram,29-Sep,9/29/2019,Sun,7,7,2,2,0,0,1,Away,RAM,Los Angeles Rams,FALSE,41,68.3,28,4,376,9.2,40,55,88,2,119.6,Win,30,2,88,2.9,13,8,32:36:00,2,Reg,4,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080nwe,201909080nwe,8-Sep,9/8/2019,Sun,3,3,4,4,0,0,0,Home,PIT,Pittsburgh Steelers,FALSE,37,67.6,25,3,366,9.9,3,33,123,3,126.6,Win,29,0,99,3.4,14,7,32:33:00,1,Reg,1,7
201909150mia,201909150mia,15-Sep,9/15/2019,Sun,6,4,2,1,0,0,0,Away,MIA,Miami Dolphins,FALSE,28,71.4,20,2,255,9.1,0,43,144,3,123.4,Win,35,2,124,3.5,11,6,36:30:00,2,Reg,2,9
201909220nwe,201909220nwe,22-Sep,9/22/2019,Sun,4,3,1,1,0,0,1,Home,NYJ,New York Jets,FALSE,45,66.7,30,2,313,7,14,30,310,7,92.2,Win,27,2,68,2.5,15,6,35:14:00,1,Reg,3,7
201909290buf,201909290buf,29-Sep,9/29/2019,Sun,2,1,1,1,0,0,1,Away,BUF,Buffalo Bills,FALSE,39,46.2,18,0,150,3.8,10,16,435,9,45.9,Win,23,1,74,3.2,18,5,27:20:00,0,Reg,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080car,201909080car,8-Sep,9/8/2019,Sun,3,3,4,3,0,0,1,Away,CAR,Carolina Panthers,FALSE,39,59,23,1,183,4.7,27,30,138,4,68.6,Win,32,2,166,5.2,17,9,33:16:00,1,Reg,1,3
201909150ram,201909150ram,15-Sep,9/15/2019,Sun,3,3,2,2,0,0,0,Home,NOR,New Orleans Saints,FALSE,28,67.9,19,1,265,9.5,9,27,199,4,110,Win,30,2,115,3.8,13,5,30:21:00,3,Reg,2,18
201909220cle,201909220cle,22-Sep,9/22/2019,Sun,2,2,3,2,0,0,2,Away,CLE,Cleveland Browns,FALSE,38,63.2,24,2,254,6.7,13,20,79,2,78.2,Win,24,0,90,3.8,14,6,28:23:00,2,Reg,3,14
201909290ram,201909290ram,29-Sep,9/29/2019,Sun,4,4,2,2,1,0,3,Home,TAM,Tampa Bay Buccaneers,FALSE,68,66.2,45,2,490,7.2,55,40,41,1,78.7,Loss,11,2,28,2.5,11,4,27:24:00,2,Reg,4,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080phi,201909080phi,8-Sep,9/8/2019,Sun,3,3,1,1,2,1,0,Home,WAS,Washington Redskins,FALSE,39,71.8,28,3,313,8,27,32,154,3,121,Win,31,1,123,4,17,11,34:27:00,1,Reg,1,0
201909150atl,201909150atl,15-Sep,9/15/2019,Sun,0,0,2,2,3,2,2,Away,ATL,Atlanta Falcons,FALSE,48,58.3,28,1,237,4.9,24,20,209,4,60.9,Loss,21,1,49,2.3,18,9,32:54:00,3,Reg,2,18
201909220phi,201909220phi,22-Sep,9/22/2019,Sun,3,3,1,1,2,0,0,Home,DET,Detroit Lions,FALSE,36,52.8,19,2,246,6.8,27,24,144,3,93.1,Loss,30,1,127,4.2,13,7,32:18:00,3,Reg,3,13
201909260gnb,201909260gnb,26-Sep,9/26/2019,Thu,4,4,0,0,0,0,0,Away,GNB,Green Bay Packers,FALSE,27,59.3,16,3,160,5.9,27,34,167,4,113.2,Win,33,2,176,5.3,9,5,27:39:00,0,Reg,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
